,Time,Vmax,
1,0.01728213,2202.972337,
2,0.017541019,2209.922923,
3,0.017796019,2208.351284,
4,0.01817713,2202.777178,
5,0.018543241,2212.92728,
6,0.01879713,2221.11565,
7,0.019046019,2214.602935,
8,0.019296296,2227.016856,
9,0.019547685,2233.249437,
10,0.019916574,2237.013165,
11,0.020271296,2259.270558,
12,0.020520741,2272.416304,
13,0.020770463,2283.817394,
14,0.021020463,2292.789891,
15,0.021271852,2298.450069,
16,0.021640741,2303.122097,
17,0.021998241,2319.111943,
18,0.022250185,2329.887291,
19,0.022501019,2343.009822,
20,0.022751296,2346.814194,
21,0.02300213,2361.017146,
22,0.02337463,2366.59774,
23,0.023730463,2379.357999,
24,0.023980185,2398.839652,
25,0.024234352,2414.876113,
26,0.024486296,2428.957622,
27,0.024737685,2447.910134,
28,0.025114907,2471.183975,
29,0.025476019,2480.410317,
30,0.025726296,2492.920909,
31,0.02597463,2507.559247,
32,0.026222407,2518.258112,
33,0.026471296,2535.537459,
34,0.026851019,2547.365345,
35,0.027212963,2554.819976,
36,0.027464907,2563.487981,
37,0.02771713,2571.364736,
38,0.027968519,2585.976118,
39,0.028216019,2599.620978,
40,0.028581019,2610.255407,
41,0.028937963,2631.871555,
42,0.029188519,2633.035208,
43,0.029440741,2637.448846,
44,0.029695741,2635.869671,
45,0.029951574,2643.795157,
46,0.030338796,2648.522012,
47,0.030701019,2647.486767,
48,0.030954074,2669.039285,
49,0.031204352,2673.635153,
50,0.03145713,2685.927027,
51,0.031708519,2676.969378,
52,0.032086019,2665.280898,
53,0.032445741,2666.296741,
54,0.03269713,2664.257422,
55,0.032946574,2664.149093,
56,0.033199907,2665.268024,
57,0.033454074,2672.675316,
58,0.033834074,2676.170338,
59,0.034192963,2689.770175,
60,0.034445185,2695.083957,
61,0.034703796,2694.649941,
62,0.034956019,2687.651217,
63,0.035205185,2693.34851,
64,0.035585741,2697.875486,
65,0.035952963,2688.234748,
66,0.036202407,2695.165784,
67,0.036455185,2685.236073,
68,0.036706852,2701.923228,
69,0.036959074,2713.979589,
70,0.037332407,2720.591504,
71,0.037694352,2735.222808,
72,0.037945741,2740.890528,
73,0.038196852,2761.672628,
74,0.038450185,2750.045957,
75,0.038704352,2736.674012,
76,0.039084352,2720.372908,
77,0.039448796,2734.439434,
78,0.039701019,2742.877928,
79,0.039954352,2737.206417,
80,0.040206574,2725.384578,
81,0.040461296,2724.433739,
82,0.040843241,2723.633461,
83,0.041212407,2756.087993,
84,0.041462685,2757.972185,
85,0.041718796,2761.359607,
86,0.041973519,2755.39302,
87,0.042226574,2748.348266,
88,0.042598519,2736.42541,
89,0.04295463,2745.367749,
90,0.043209074,2748.544499,
