,Time,Vmax,
1,0.01682713,803.7365951,
2,0.017074907,806.751325,
3,0.017324907,813.8497705,
4,0.017577963,819.7746023,
5,0.017829074,825.9520157,
6,0.018179352,830.1971429,
7,0.018519352,834.8405237,
8,0.018766019,836.8656011,
9,0.019019352,843.4523283,
10,0.01927213,845.8654995,
11,0.019523519,846.4112716,
12,0.019877963,846.5236444,
13,0.020225463,853.4600679,
14,0.020475463,858.1839029,
15,0.02072963,864.9972332,
16,0.020981019,868.5907246,
17,0.021231852,870.4307649,
18,0.02159213,872.1682513,
19,0.021938796,878.3279408,
20,0.02218713,881.5159695,
21,0.022437685,887.1428473,
22,0.022687963,894.8741255,
23,0.022936296,904.6005749,
24,0.023288241,912.868691,
25,0.023627685,921.8851751,
26,0.023876574,931.0006387,
27,0.024128519,935.8941838,
28,0.024381852,938.633593,
29,0.024631574,941.7243374,
30,0.024985185,944.024007,
31,0.025330185,951.7658731,
32,0.025578796,957.9309236,
33,0.025826574,960.4393438,
34,0.026079352,962.6647549,
35,0.026331852,965.6902332,
36,0.026682407,967.7270422,
37,0.027022407,978.2361618,
38,0.02727463,982.7033738,
39,0.027526296,989.3992762,
40,0.027775185,995.8626515,
41,0.028026019,1000.457467,
42,0.028383241,1003.903557,
43,0.02872963,1011.55421,
44,0.02897713,1016.623392,
45,0.029225741,1026.821013,
46,0.029474074,1033.635349,
47,0.029726296,1038.077463,
48,0.030081852,1040.634393,
49,0.030424352,1046.409529,
50,0.030674074,1050.220269,
51,0.03091963,1051.417185,
52,0.031168241,1051.743364,
53,0.031416019,1047.893642,
54,0.031772407,1043.628988,
55,0.032117685,1047.675684,
56,0.032366019,1045.296994,
57,0.032616296,1045.374869,
58,0.032866852,1047.359429,
59,0.033119352,1050.288457,
60,0.033476574,1052.196241,
61,0.03382463,1055.094367,
62,0.034073796,1057.446376,
63,0.03432213,1057.119793,
64,0.034573519,1057.096187,
65,0.034821296,1061.33686,
66,0.035172963,1063.655391,
67,0.035514907,1066.815466,
68,0.035763519,1070.938884,
69,0.036016296,1074.273374,
70,0.03626963,1076.796147,
71,0.036519907,1080.0237,
72,0.036872685,1081.960324,
73,0.037217407,1083.039791,
74,0.037465741,1087.263533,
75,0.037714907,1088.001258,
76,0.037966574,1090.59076,
77,0.038217685,1095.031852,
78,0.038567407,1099.321342,
79,0.038907685,1105.252616,
80,0.039156852,1112.185428,
81,0.039408519,1110.623531,
82,0.039659352,1110.457216,
83,0.039908241,1109.907963,
84,0.040263796,1107.91595,
85,0.04060713,1114.018962,
86,0.040857407,1119.464945,
87,0.041107685,1118.530307,
88,0.04135713,1121.95912,
89,0.041606852,1126.005202,
90,0.041956852,1128.986458,
91,0.042296574,1131.379181,
92,0.042545185,1135.023813,
93,0.042798241,1139.941466,
94,0.043050463,1144.420875,
95,0.043299907,1146.512009,
96,0.04365463,1147.215926,
97,0.043997963,1148.291184,
98,0.044245463,1144.193694,
99,0.044492407,1147.026864,
100,0.044740741,1143.194049,
101,0.04498963,1148.141276,
102,0.045337407,1151.653361,
103,0.045679352,1152.164648,
104,0.045933241,1155.246571,
105,0.046183796,1157.268138,
106,0.046437963,1159.953673,
107,0.046691019,1160.441338,
108,0.047049907,1159.852417,
109,0.047395185,1161.977247,
110,0.047643241,1163.68549,
111,0.047892407,1167.818204,
112,0.04814463,1171.152659,
113,0.048397685,1174.374199,
114,0.048757685,1176.721691,
115,0.049104352,1180.201292,
116,0.049354352,1181.018862,
117,0.049609352,1182.822786,
118,0.049861852,1184.855883,
119,0.050115463,1188.362703,
120,0.050471019,1190.305271,
121,0.050812685,1193.157822,
122,0.05105963,1196.032313,
123,0.051308241,1198.432924,
124,0.051555741,1202.363595,
125,0.051804352,1207.137197,
126,0.052164907,1209.779385,
127,0.052511574,1208.615659,
128,0.052762685,1209.437993,
129,0.053012963,1215.460706,
130,0.053263241,1213.469186,
131,0.05351213,1216.353319,
132,0.053869352,1218.380077,
133,0.054216296,1221.315493,
134,0.054466019,1224.721625,
135,0.054713241,1230.129764,
136,0.054961019,1230.493831,
137,0.055213519,1229.348376,
138,0.055566852,1227.034576,
139,0.055907685,1226.442617,
140,0.056153796,1227.97851,
141,0.056401019,1230.796606,
142,0.056648796,1232.531101,
143,0.056899352,1235.494825,
144,0.057261852,1237.902164,
145,0.05760713,1239.894492,
146,0.057854907,1244.043913,
147,0.058105463,1245.435584,
148,0.058353796,1242.142937,
149,0.05860713,1243.025356,
150,0.058957685,1242.24417,
151,0.059296852,1247.143385,
152,0.059546019,1250.850099,
153,0.059799352,1251.536047,
154,0.060051296,1253.140129,
155,0.060300185,1256.002049,
156,0.060656574,1257.067997,
157,0.061000185,1260.827563,
158,0.061250463,1264.550421,
159,0.061499907,1267.351849,
160,0.061750463,1266.737287,
161,0.062001574,1271.87755,
162,0.062357963,1275.290794,
163,0.062701574,1279.11598,
164,0.062950741,1282.546306,
165,0.06319963,1286.976347,
166,0.063449907,1285.090417,
167,0.063697685,1286.305171,
168,0.064056296,1286.765561,
169,0.064404907,1289.70889,
170,0.064654907,1293.933208,
171,0.064900741,1295.202058,
172,0.065151019,1298.287485,
173,0.065401574,1297.902508,
174,0.065755185,1296.384534,
175,0.066097685,1298.616192,
176,0.066345463,1298.036309,
177,0.066594074,1296.530151,
178,0.066841852,1297.326064,
179,0.067091019,1299.328931,
180,0.067452963,1300.107748,
181,0.067800185,1303.37165,
182,0.068048796,1305.169042,
183,0.068299907,1305.840155,
