"","Time","Temperature","Vmax.og","Vmax.inst"
"1",0,9.8,14.78369416,14.78369416
"2",0.000340833000000096,9.8,14.7241964,14.7241964004923
"3",0.000672777999999985,9.8,15.99715686,15.997156861056
"4",0.000923055999999978,9.8,15.02788104,15.0278810413612
"5",0.00117222200000011,9.8,19.06736335,19.0673633521935
"6",0.00142083300000007,9.8,19.45097878,19.4509787827126
"7",0.00167500000000009,9.8,19.80635533,19.8063553332566
"8",0.00201777800000014,9.8,20.20274725,20.2027472540022
"9",0.00235194400000016,9.8,18.6256946,18.6256946043016
"10",0.00259583299999999,9.8,17.24337822,17.2433782243958
"11",0.00284083300000004,9.8,13.71475845,13.7147584538267
"12",0.00308638900000013,9.8,12.03826881,12.0382688136497
"13",0.00333333300000005,9.8,9.173166388,9.17316639100393
"14",0.003675278,9.8,6.630956379,6.63095638139458
"15",0.00400777800000007,9.8,4.582606013,4.58260601480488
"16",0.00425500000000012,9.8,6.084199419,6.08419942154441
"17",0.00450361100000007,9.8,5.533703307,5.5337033094497
"18",0.00475138900000016,9.8,10.3950921,10.3950921048555
"19",0.00499555600000012,9.8,7.948842698,7.94884270190414
"20",0.00533194400000014,9.8,5.373908445,5.37390844781763
"21",0.00566138900000013,9.8,6.998203673,6.9982036768966
"22",0.00590722200000005,9.8,7.761688174,7.7616881785099
"23",0.00615333300000009,9.8,2.748353857,2.74835385866365
"24",0.00640083300000005,9.8,-3.449928568,-3.44992857017259
"25",0.00664722200000001,9.8,-7.851630588,-7.85163059313549
"26",0.00698194400000007,9.8,-11.94098595,-11.9409859582048
"27",0.00731083300000002,9.8,-11.66728379,-11.6672837983957
"28",0.00756027800000014,9.8,-15.27886537,-15.278865381371
"29",0.00780611100000006,9.8,-17.70830943,-17.7083094436093
"30",0.00805194399999998,9.8,-19.51162463,-19.5116246454692
"31",0.00830027800000011,9.8,-21.31332005,-21.3133200674209
"32",0.00864055600000002,9.8,-23.31127692,-23.3112769398383
"33",0.00897111100000014,9.8,-26.37936034,-26.3793603633118
"34",0.00921666700000001,9.8,-27.4646999,-27.4646999249382
"35",0.0094655560000001,9.8,-24.48050989,-24.4805099128315
"36",0.0097122220000001,9.8,-22.62547395,-22.6254739716539
"37",0.0099625000000001,9.8,-24.84241195,-24.8424119743912
"38",0.0103036110000001,9.8,-26.70527603,-26.7052760571225
"39",0.010636944,9.8,-26.26110382,-26.2611038475386
"40",0.0108847220000001,9.8,-25.0135708,-25.0135708268446
"41",0.0111366670000002,9.8,-16.09459427,-16.0945942876747
"42",0.0113825000000001,9.8,-15.44113458,-15.4411345973334
"43",0.0116286110000001,9.8,-14.31934884,-14.3193488564236
"44",0.0119708330000001,9.8,-13.67598557,-13.67598558615
"45",0.012307222,9.8,-12.87222819,-12.8722282056305
"46",0.0125558330000002,9.8,-13.27160812,-13.271608136443
"47",0.0128052780000001,9.8,-11.0374803,-11.0374803139483
"48",0.0130530560000002,9.8,-13.10311289,-13.1031129068811
"49",0.0133005560000001,9.8,-15.45641624,-15.456416260293
"50",0.0136438890000001,9.8,-17.49934522,-17.4993452435721
"51",0.0139819440000002,9.8,-18.91239124,-18.912391266111
"52",0.0142272220000002,9.8,-19.78793232,-19.7879323478023
"53",0.014478333,9.8,-15.14339644,-15.1433964616548
"54",0.014728611,9.8,-12.59677579,-12.5967758083267
"55",0.0149761110000002,9.8,-12.97698811,-12.9769881291994
"56",0.0153169440000001,9.8,-13.63103208,-13.6310321006295
"57",0.0156480560000001,9.8,-13.40861559,-13.4086156107348
"58",0.0158933330000002,9.8,-13.91299848,-13.9129985018546
"59",0.0161419440000001,9.8,-13.78669852,-13.7866985419976
"60",0.0163916670000002,9.8,-10.65361464,-10.6536146572636
"61",0.0166413890000001,9.806841667,-11.36560275,-11.3656027687007
"62",0.0169836110000001,9.817108333,-11.98439509,-11.9843951100745
"63",0.0173172220000002,9.827116667,-13.6631887,-13.6631887233583
"64",0.0175647220000001,9.834541667,-15.3568475,-15.3568475267732
"65",0.0178125,9.841975,-18.15725494,-18.157254972113
"66",0.0180600000000002,9.8494,-20.32527497,-20.3252750064621
"67",0.0183058330000001,9.856775,-19.20286049,-19.2028605249372
"68",0.0186477780000001,9.867033333,-18.11851921,-18.1185192434271
"69",0.0189819440000001,9.877058333,-16.58257315,-16.582573181018
"70",0.0192300000000001,9.8845,-15.42830788,-15.4283079092545
"71",0.0194780560000001,9.891941667,-15.22544608,-15.2254461094151
"72",0.019725,9.89935,-17.49283566,-17.4928356944107
"73",0.0199725000000002,9.906775,-22.10592866,-22.1059287041652
"74",0.020315278,9.917058333,-26.95571106,-26.9557111145645
"75",0.020647222,9.927016667,-28.47677699,-28.4767770483977
"76",0.0208908330000002,9.934325,-28.27308251,-28.2730825687324
"77",0.021135833,9.941675,-26.31185244,-26.3118524953583
"78",0.021380833,9.949025,-26.61116944,-26.6111694966998
"79",0.0216291670000002,9.956475,-25.92992529,-25.9299253459454
"80",0.0219663890000001,9.966591667,-25.09540097,-25.0954010250841
"81",0.0222972220000002,9.976516667,-26.02259093,-26.0225909880833
"82",0.0225441670000002,9.983925,-24.70166155,-24.7016616060396
"83",0.022790278,9.991308333,-23.71546989,-23.7154699444425
"84",0.023039722,9.998791667,-24.44906514,-24.4490651967932
"85",0.0232886110000001,10.00625833,-22.74886481,-22.7488648634666
"86",0.023628333,10.01645,-20.96230514,-20.9623051898445
"87",0.0239586110000001,10.02635833,-20.94859902,-20.9485990703954
"88",0.0242077780000001,10.03383333,-21.92316405,-21.9231641033578
