,Time,Vmax,
1,0.017043519,652.2485333,
2,0.017398796,660.9944321,
3,0.017649352,670.2103991,
4,0.017903241,683.9648769,
5,0.018152963,696.8188477,
6,0.018403241,707.5851013,
7,0.018766019,717.3746339,
8,0.019118796,731.8218298,
9,0.019367407,737.5666303,
10,0.01961963,747.6741334,
11,0.019868796,761.2945275,
12,0.020116574,773.672606,
13,0.02048213,785.1081034,
14,0.020834074,797.4405109,
15,0.021081574,808.7993586,
16,0.021335741,818.5155416,
17,0.021587407,827.6189946,
18,0.021838241,834.5864317,
19,0.022210185,840.3013126,
20,0.022562685,852.819865,
21,0.022810185,861.7621741,
22,0.02305963,875.9986313,
23,0.023310185,887.3902054,
24,0.023561296,901.1263967,
25,0.023928796,914.3520801,
26,0.024284074,920.559276,
27,0.024534352,931.3145143,
28,0.024783796,937.836547,
29,0.025030741,944.1605225,
30,0.025278241,951.9233089,
31,0.02565463,958.4757449,
32,0.026009907,967.5466391,
33,0.026259352,972.9575379,
34,0.026512963,980.1683276,
35,0.026764907,986.7177128,
36,0.027015185,1002.158363,
37,0.027376852,1016.594911,
38,0.027725185,1022.378863,
39,0.02797213,1032.507031,
40,0.028225185,1040.117125,
41,0.028479907,1054.337224,
42,0.028730463,1065.308367,
43,0.029096574,1074.237083,
44,0.029448796,1079.953015,
45,0.029695185,1085.417557,
46,0.029942685,1097.682589,
47,0.03018963,1104.731877,
48,0.030438241,1110.904107,
49,0.030811296,1116.512737,
50,0.031165741,1124.601846,
51,0.031414352,1127.908193,
52,0.031660463,1137.4262,
53,0.031910185,1147.022617,
54,0.032157685,1156.117218,
55,0.03252713,1162.684383,
56,0.032884352,1172.180099,
57,0.03313713,1179.686076,
58,0.033384907,1185.549262,
59,0.033633796,1188.68342,
60,0.033889074,1193.538498,
61,0.034261296,1197.539663,
62,0.034612963,1196.749369,
63,0.034866019,1201.947243,
64,0.035118241,1208.391724,
65,0.035364352,1217.601936,
66,0.035610741,1223.072239,
67,0.035979907,1226.678141,
68,0.036336574,1238.105274,
69,0.036585741,1249.679395,
70,0.036836296,1262.855875,
71,0.037086852,1269.649435,
72,0.037336852,1277.149635,
73,0.037704907,1284.34333,
74,0.038055185,1291.528372,
75,0.038301852,1300.057522,
76,0.038552963,1308.748145,
77,0.03879963,1320.677436,
78,0.039051019,1331.709167,
79,0.039423241,1340.417506,
80,0.039777685,1347.780528,
81,0.040023241,1353.916383,
82,0.04026713,1364.014045,
83,0.040516574,1363.161998,
84,0.040766296,1370.35311,
85,0.04113713,1377.944181,
86,0.041489074,1386.109734,
87,0.041739074,1397.053863,
88,0.041987685,1404.424942,
89,0.04223463,1416.498025,
90,0.042482963,1424.653971,
91,0.042847407,1430.945763,
92,0.043201574,1438.460025,
93,0.043451852,1442.524204,
94,0.043700463,1446.805288,
95,0.043949907,1450.884182,
96,0.044196574,1456.913972,
97,0.044565463,1460.191755,
98,0.044922963,1466.10015,
99,0.045171296,1476.932911,
100,0.045418241,1485.935269,
101,0.045664074,1501.553146,
102,0.045911574,1505.03678,
103,0.046272685,1507.984465,
104,0.046623241,1514.82186,
105,0.046873519,1527.86036,
106,0.047124907,1539.529662,
107,0.04737463,1545.696675,
108,0.047626296,1553.275065,
109,0.047988241,1559.096884,
110,0.048335741,1566.26647,
111,0.048584074,1576.53541,
112,0.048834352,1583.602525,
113,0.04908463,1593.691094,
114,0.049338241,1600.041672,
115,0.049705185,1603.078361,
116,0.050058796,1608.389386,
117,0.050303241,1611.106437,
118,0.05054963,1618.057714,
