"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","R21","1","down","1","15","10.2242812572002","29.4688859436315","4.04575246174351"
"2","R21","1","down","1","20","18.7967868515421","45.4204274084374","5.53927415665972"
"3","R21","1","up","2","20","28.9397015036129","67.0752901540108","8.86604278369343"
"4","R21","1","up","2","25","50.3342041186205","82.5810929024312","10.8660368948033"
"5","R21","1","up","2","30","65.8436330792312","97.2998226889232","9.15175145928293"
"6","R21","1","up","2","40","63.9198549770268","70.1575016897899","1.65501648573045"
"7","R21","2","down","3","10","4.96488206214629","14.1898869040088","2.46838151232498"
"8","R21","2","down","3","15","12.1606700276557","31.4491192980382","4.88567314503155"
"9","R21","2","down","3","20","23.131122352887","53.7645110852913","6.95839862902688"
"10","R21","2","up","4","20","18.7381400375194","41.7023889327849","5.51363762467342"
"11","R21","2","up","4","25","28.6783689005542","53.7931521634888","5.77493401750183"
"12","R21","2","up","4","30","34.2116732357836","59.3518006487908","4.07162736447133"
"13","R21","2","up","4","35","35.3745946872183","57.0045322404299","1.75205707246354"
"14","R21","2","up","4","40","36.437123233153","46.9281101504666","-0.142544503669356"
"15","R21","3","down","5","10","5.13691562425162",NA,"2.56517297329613"
"16","R21","3","down","5","15","11.5886082225647","11.5886082225647","4.63768483482947"
"17","R21","3","down","5","20","20.9213203054456","20.9213203054456","6.23433851302991"
"18","R21","3","up","6","20","15.4139299954443","41.1792756365732","4.42502903050408"
"19","R21","3","up","6","25","24.3084153004078","58.1503130402275","4.7459108956033"
"20","R21","3","up","6","30","39.3984276965537","76.1154319204653","4.90569918165552"
"21","R21","3","up","6","35","56.8186750370751","94.9374361546459","3.99728521630747"
"22","R21","3","up","6","40","53.7787368501047","87.6142356065004","0.988045039702409"
"23","R21","4","down","7","10","2.89479459807399","8.06899956515087","1.34313737494849"
"24","R21","4","down","7","15","10.1931266813923","24.1619061769937","4.02267934089808"
"25","R21","4","down","7","20","21.2882748668506","44.5201702857523","6.34983726792361"
"26","R21","4","up","8","20","32.3082985751897","63.6681537389917","9.94795871162094"
"27","R21","4","up","8","25","53.2539286686627","96.1600678752896","11.5616090756921"
"28","R21","4","up","8","30","84.5692546895747","134.505191338783","12.1657815948701"
"29","R21","4","up","8","35","123.719441125613","163.526784289151","10.9959761059875"
"30","R21","4","up","8","40","119.167363395383","141.177396039446","5.25461856636988"
