"","Tr","Plant","Dir","Leaf","Temp","Vcmax","Jmax","A275"
"1","A26","1","down","1","10","7.59966344771699","19.8245213140435","3.70996637710002"
"2","A26","1","down","1","15","15.3680454540487","35.2326715333709","6.15754291601228"
"3","A26","1","down","1","20","29.2973144270162","57.6508272208922","8.95781971884642"
"4","A26","1","down","1","25","53.3849391914245","80.8098205211108","11.4724509453423"
"5","A26","1","up","2","25","51.7861672532981","74.6846312924885","10.6346255893703"
"6","A26","1","up","2","30","74.432518437763","109.255216403352","10.6297847111677"
"7","A26","1","up","2","35","104.402039085148","132.039176858877","9.07695450618992"
"8","A26","1","up","2","40","106.182439542486","84.4031644000051","4.39570026327577"
"9","A26","2","down","3","10","3.03942131519681","8.06292154627853","1.33575762199537"
"10","A26","2","down","3","15","8.43556104843151","18.8285744539397","3.13001152824508"
"11","A26","2","down","3","20","20.1310662906247","36.5845691446444","5.7214205863501"
"12","A26","2","down","3","25","36.9160485536259","57.2107467345962","7.73519681727449"
"13","A26","2","up","4","25","34.880730707218","47.3492967568696","6.51549789433322"
"14","A26","2","up","4","30","46.7111004767223","61.8457925658327","6.17301934615042"
"15","A26","2","up","4","35","59.5964753856154","69.2576767910911","4.38851834028449"
"16","A26","3","down","5","10","1.84050983782196","5.24606508807931","0.704783950440291"
"17","A26","3","down","5","15","4.8334664033527","10.9577621286749","1.6340483254403"
"18","A26","3","down","5","20","10.3134092116014","19.3916698994053","2.71600468476178"
"19","A26","3","down","5","25","17.0127812616456","29.9300460585601","3.06951362090703"
"20","A26","3","up","6","25","19.4404501640283","34.0909941931348","3.64135809690043"
"21","A26","3","up","6","30","26.6832550086121","40.4435879915284","2.95709516495705"
"22","A26","3","up","6","35","36.3668147020871","38.5783238803806","1.95442900301106"
