Curve,CO2S,Ci,Tleaf,Photo,PARi,Direction,Rd
35,1382.352,843.8618,35.01274286,14.30257,1500,up,
40,396.27,327.0743,40.05058571,2.716353,1500,up,
40,297.8157,259.2742,40.01841429,1.4801,1500,up,
40,199.3524,189.5848,39.94482857,0.236875,1500,up,
40,150.1236,152.2093,40.0250381,-0.36819,1500,up,
40,100.915,113.5589,40.01964286,-0.97013,1500,up,
40,51.73983,74.62145,40.00441905,-1.60968,1500,up,
40,396.1429,346.2694,39.99650476,2.577758,1500,up,
40,494.2189,416.1213,40.00381429,4.099296,1500,up,
40,592.7514,488.0599,39.99397619,5.224267,1500,up,
40,790.1047,635.0116,39.77550476,7.285869,1500,up,
40,987.8579,768.8518,40.04209048,9.072517,1500,up,
40,1185.877,907.5516,40.0073381,10.58504,1500,up,
40,1384.083,1084.392,39.84848095,11.90329,1500,up,
