Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,3/4/2018,31,0,0,0,0.3024
1,3/4/2018,31,188,10,35.06162,0.42971
1,3/4/2018,31,387,10,65.03558,0.52694
1,3/4/2018,31,562,10,81.18864,0.48564
1,3/4/2018,31,761,10,113.14917,0.39943
1,3/4/2018,31,1195,10,144.83652,0.50078
1,3/4/2018,31,1667,20,171.26294,1.40915
1,3/4/2018,31,2482,20,193.85674,0.82644
1,3/4/2018,31,3258,30,203.83255,1.4995
1,3/4/2018,31,4362,40,199.19204,1.50794
2,3/9/2018,31,0,0,0,0.05415
2,3/9/2018,31,220,10,87.73293,0.62388
2,3/9/2018,31,420,10,155.79317,0.63553
2,3/9/2018,31,617,10,205.01096,0.39141
2,3/9/2018,31,815,10,240.72263,0.86849
2,3/9/2018,31,1161,10,285.78575,0.71202
2,3/9/2018,31,1642,20,326.3536,0.42757
2,3/9/2018,31,2421,20,351.71128,2.11698
2,3/9/2018,31,3208,30,375.13499,1.99447
2,3/9/2018,31,4121,40,379.09453,1.54937
3,3/14/2018,31,0,0,0,0.1439
3,3/14/2018,31,219,10,78.01971,0.38678
3,3/14/2018,31,422,10,146.5066,0.45089
3,3/14/2018,31,619,10,199.35285,0.37275
3,3/14/2018,31,804,10,244.81889,0.42329
3,3/14/2018,31,1186,10,309.17135,0.67295
3,3/14/2018,31,1657,20,367.03691,1.23028
3,3/14/2018,31,2444,20,427.68497,1.00077
3,3/14/2018,31,3243,30,445.35241,1.11995
3,3/14/2018,31,3959,30,461.16067,0.93229
4,3/18/2019,20.3,0,0,0,0.4
4,3/18/2019,20.3,297,10,142.6,0.8
4,3/18/2019,20.3,476,10,219.5,0.9
4,3/18/2019,20.3,669,10,285.1,0.8
4,3/18/2019,20.3,873,10,353.8,0.9
4,3/18/2019,20.3,1277,10,429.5,0.9
4,3/18/2019,20.3,1685,20,486.2,0.9
4,3/18/2019,20.3,2503,20,527.2,3.4
4,3/18/2019,20.3,3276,30,539.1,3.3
4,3/18/2019,20.3,4179,30,532.2,3.2
5,3/22/2019,24.7,0,0,0,0.3
5,3/22/2019,24.7,263,10,191.8,0.9
5,3/22/2019,24.7,460,10,309.1,0.8
5,3/22/2019,24.7,663,10,393.7,0.9
5,3/22/2019,24.7,840,10,460.4,0.8
5,3/22/2019,24.7,1239,10,548.4,0.9
5,3/22/2019,24.7,1669,20,611.6,3
5,3/22/2019,24.7,2442,20,669.4,3.1
5,3/22/2019,24.7,3655,30,698.2,2.9
5,3/22/2019,24.7,3999,30,706.1,2.9
6,4/12/2019,34.6,0,0,0,0.3
6,4/12/2019,34.6,259,10,505.3,0.9
6,4/12/2019,34.6,443,10,787.1,0.8
6,4/12/2019,34.6,635,10,1067.2,0.9
6,4/12/2019,34.6,862,10,1334.5,1.7
6,4/12/2019,34.6,1261,10,1640.8,4.2
6,4/12/2019,34.6,1644,20,1922.5,3.1
6,4/12/2019,34.6,2390,20,2232.5,3.4
6,4/12/2019,34.6,3203,30,2395.4,3.5
6,4/12/2019,34.6,4059,30,2469.8,3.6
