Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,8/14/2019,20.7,0,0,0,0.331485436
1,8/14/2019,20.7,259.8444794,10,187.143198,1.872130429
1,8/14/2019,20.7,459.7204115,10,410.3149042,1.502016899
1,8/14/2019,20.7,642.6526521,10,556.5420524,3.485612085
1,8/14/2019,20.7,830.5505267,10,613.8863154,3.147032205
1,8/14/2019,20.7,1202.352112,10,567.2130584,4.68305165
1,8/14/2019,20.7,1666.087091,20,581.0690441,5.778949528
1,8/14/2019,20.7,2453.539419,20,637.9450268,4.530315802
1,8/14/2019,20.7,3283.186714,30,672.9217383,5.334902719
2,8/14/2019,20.7,0,0,0,0.226588267
2,8/14/2019,20.7,256.8526399,10,472.9154792,3.663856968
2,8/14/2019,20.7,447.7493743,10,780.2072772,3.691558642
2,8/14/2019,20.7,670.6373161,10,985.2389085,4.378455509
2,8/14/2019,20.7,817.5028931,10,972.6319898,2.015255295
2,8/14/2019,20.7,1267.234458,10,1045.847767,5.53637689
2,8/14/2019,20.7,1658.960435,20,996.4379526,4.457635386
2,8/14/2019,20.7,2457.583272,20,1004.020263,3.85268503
2,8/14/2019,20.7,3294.012426,30,1004.2003,3.237433164
2,8/14/2019,20.7,4070.5716,30,964.2105438,3.642506533
3,9/17/2019,20.2,0,0,0,0.43351147
3,9/17/2019,20.2,262.8091083,10,171.0255526,1.503145403
3,9/17/2019,20.2,486.7286033,10,282.2433062,1.233453687
3,9/17/2019,20.2,629.6198069,10,396.6282898,1.147310716
3,9/17/2019,20.2,827.5065513,10,461.5391094,1.006382849
3,9/17/2019,20.2,1222.188223,10,497.0185386,0.963832434
3,9/17/2019,20.2,1725.988697,20,499.8326204,0.981245858
3,9/17/2019,20.2,2526.05167,20,508.7532088,7.459729885
3,9/17/2019,20.2,3275.468339,30,487.6977078,3.498768323
3,9/17/2019,20.2,4119.529433,30,468.8971976,3.637221311
4,10/2/2019,25,0,0,0,0.403853431
4,10/2/2019,25,236.8438851,10,189.9388698,1.617201601
4,10/2/2019,25,419.748988,10,338.2146327,1.389921059
4,10/2/2019,25,644.619987,10,494.1946394,1.322962155
4,10/2/2019,25,831.4283245,10,587.0861832,0.98551927
4,10/2/2019,25,1217.229951,10,611.7783589,0.901297293
4,10/2/2019,25,1666.918723,20,607.9945943,3.480338427
4,10/2/2019,25,2471.735401,20,621.1385039,3.565160308
4,10/2/2019,25,3381.177188,30,634.2089717,3.658040548
4,10/2/2019,25,4015.838341,30,613.4321419,3.236958122
5,10/22/2019,29.4,0,0,0,0.350902872
5,10/22/2019,29.4,262.8349839,10,204.262536,1.193602967
5,10/22/2019,29.4,459.697507,10,375.504036,1.002869138
5,10/22/2019,29.4,702.6240392,10,476.904036,0.953022852
5,10/22/2019,29.4,841.5274507,10,515.412736,0.924037121
5,10/22/2019,29.4,1207.266297,10,593.122136,0.911139445
5,10/22/2019,29.4,1676.968485,20,670.341636,1.057276889
5,10/22/2019,29.4,2470.410686,20,690.658836,5.696323614
5,10/22/2019,29.4,3275.880191,30,686.524136,7.899102013
5,10/22/2019,29.4,4073.938142,30,624.055336,13.30715348
6,11/3/2019,33.8,0,0,0,0.470498953
6,11/3/2019,33.8,456.7309783,10,254.438485,3.415285925
6,11/3/2019,33.8,658.6429594,10,322.5794685,3.531980829
6,11/3/2019,33.8,848.5402452,10,421.2886373,3.69847594
6,11/3/2019,33.8,1205.300255,10,513.3479412,4.512798123
6,11/3/2019,33.8,1619.075383,20,542.4863037,11.37624577
6,11/3/2019,33.8,2488.714326,20,608.5202482,34.48037508
6,11/3/2019,33.8,3273.84712,30,571.0935705,19.31536541
6,11/3/2019,33.8,4096.729855,30,567.3289658,16.26486292
