Meas,Treat,Topt,r15,r40
1,M21,29.33,0.517649551,0.444981584
2,M26,33.08,0.190457682,0.684312967
3,M31,36.79,0.002907826,0.896923545
4,A21,32.37,0.290970021,0.454711026
5,A26,32.67,0.26517992,0.506034246
6,A31,32.97,0.234981225,0.55365434
7,G21,31.84,0.378480189,0.644325758
8,G26,33.7,0.180423966,0.754279521
9,G31,35.53,0.015208532,0.849603366
10,R21,32.02,0.378093414,0.670730505
11,R26,32.2,0.303771065,0.679044686
12,R31,32.39,0.189935257,0.685698034
