Tr,Plant,Leaf,Temp,A400,Direction
A21,1,1,20,12.401538,down
A21,1,1,15,10.743609,down
A21,1,1,10,7.115989,down
A21,1,2,20,13.822393,up
A21,1,2,25,15.545504,up
A21,1,2,30,13.663096,up
A21,1,2,35,6.333966,up
A21,1,2,40,2.642088,up
A21,2,3,20,11.785807,down
A21,2,3,15,8.261888,down
A21,2,3,10,5.563684,down
A21,2,4,20,10.881987,up
A21,2,4,25,13.201939,up
A21,2,4,30,12.935361,up
A21,2,4,35,10.072078,up
A21,2,4,40,3.344453,up
A21,3,5,20,11.638772,down
A21,3,5,15,9.139653,down
A21,3,5,10,5.626219,down
A21,3,6,20,17.746811,up
A21,3,6,25,19.056241,up
A21,3,6,30,19.363429,up
A21,3,6,35,15.668881,up
A21,3,6,40,8.028432,up
A31,1,1,30,7.992336,down
A31,1,1,25,6.972786,down
A31,1,1,20,4.990894,down
A31,1,1,15,3.282129,down
A31,1,1,10,1.309314,down
A31,1,2,30,8.934563,up
A31,1,2,35,7.83126,up
A31,1,2,40,3.694303,up
A31,2,3,30,12.698766,down
A31,2,3,25,11.417187,down
A31,2,3,20,9.17108,down
A31,2,3,15,6.152795,down
A31,2,3,10,3.353035,down
A31,2,4,30,12.550443,up
A31,2,4,35,12.761581,up
A31,2,4,40,7.757247,up
A31,3,5,30,14.594147,down
A31,3,5,25,13.343243,down
A31,3,5,20,9.896599,down
A31,3,5,15,7.187725,down
A31,3,5,10,4.332795,down
A31,3,6,30,14.032036,up
A31,3,6,35,13.094249,up
A31,3,6,40,6.90246,up
G21,1,1,20,14.684841,down
G21,1,1,15,9.855354,down
G21,1,1,10,4.289276,down
G21,1,2,20,7.805623,up
G21,1,2,25,7.330212,up
G21,1,2,30,7.164409,up
G21,1,2,35,4.732545,up
G21,1,2,40,1.617046,up
G21,2,3,20,9.108627,down
G21,2,3,15,6.12469,down
G21,2,3,10,1.969976,down
G21,2,4,20,13.179483,up
G21,2,4,25,13.325519,up
G21,2,4,30,12.005799,up
G21,2,4,35,8.638036,up
G21,2,4,40,5.078626,up
G21,3,5,20,5.365148,down
G21,3,5,15,4.0043,down
G21,3,5,10,1.6902,down
G21,3,6,20,7.6506,up
G21,3,6,25,8.2534,up
G21,3,6,30,8.7971,up
G21,3,6,35,7.6489,up
G21,3,6,40,4.7132,up
G31,1,1,30,10.226642,down
G31,1,1,25,8.514264,down
