Parms,x
sdNase,-2.107355439
ymax21a,0.95623882
ymax21b,0.817922586
ymax21c,1.080453482
ymax26a,0.896921273
ymax26b,0.961898604
ymax26c,0.88616782
ymax31a,0.882642306
ymax31b,0.704394835
ymax31c,0.888673991
a,-15.83976568
b,0.936347202
c,31.44431791
d,0.024299694
e,44.70313876
f,0.051617152
