Meas,Time,Vmax
201,0.075321019,795.4431271
202,0.075571852,797.9454662
203,0.07582213,803.025279
204,0.076070185,798.6371097
205,0.07644213,794.2926444
206,0.076802963,789.1562648
207,0.077057685,793.4463715
208,0.077308796,795.5082748
209,0.077563796,794.1934314
210,0.077819907,796.7012053
211,0.078190741,801.2071028
212,0.078549074,806.021072
213,0.078797407,805.2912398
214,0.079047685,812.7257993
215,0.079300185,818.2095768
216,0.079559352,822.7164096
217,0.079936019,824.817637
218,0.080296019,832.9632488
219,0.080547407,839.4891088
220,0.080800185,837.9426037
221,0.08105463,840.129389
222,0.081302685,843.0726694
223,0.081677685,846.0743639
224,0.082036852,851.3097671
225,0.08228463,857.7123042
226,0.082536852,862.5306941
227,0.082788796,868.0668582
228,0.083039352,878.1555056
229,0.083411019,888.0618007
230,0.083766574,884.2876162
231,0.084015741,883.6451911
232,0.084268796,897.9870351
233,0.08451963,900.0591634
234,0.084768796,906.6181075
235,0.085138796,913.0042362
236,0.085496296,925.4415263
237,0.085748241,939.0461442
238,0.085998519,944.746656
239,0.086249907,951.66786
240,0.086504074,958.51348
241,0.086878519,962.914583
242,0.087243519,963.2395737
243,0.087492685,962.6708986
244,0.087737685,964.3749309
245,0.087986296,972.2145288
246,0.088240741,973.2180369
247,0.08861213,974.9328256
248,0.088968519,974.5435299
249,0.089221296,976.2790434
250,0.089473796,983.3320514
251,0.089726852,985.4688143
252,0.089976852,987.6708407
253,0.090359352,986.7659506
254,0.09072713,984.7284764
255,0.090980185,985.8303991
256,0.091229907,985.8504184
257,0.091484907,986.9801848
258,0.091743241,981.222957
259,0.092120185,977.2373315
260,0.092485463,987.6771932
261,0.092736574,993.9446712
262,0.09298963,992.9608248
263,0.093243519,996.895525
264,0.093494074,996.5986135
265,0.09385963,994.0330668
266,0.094213519,1006.000802
267,0.094465463,1006.651466
268,0.094717685,1002.927923
269,0.094968796,1006.700882
270,0.095225741,1007.133299
271,0.095605741,1006.385268
272,0.095966852,1004.568848
273,0.096220463,1007.2758
274,0.096471852,1014.530826
275,0.096724907,1020.36647
276,0.096975463,1023.092662
277,0.097357407,1024.035432
278,0.097720463,1017.794343
279,0.097970463,1017.54226
280,0.098220185,1012.517397
281,0.098471296,1006.055015
