Parm,x
sdNase,-2.400965474
ymax21a,0.997107071
ymax21b,0.974852611
ymax21c,0.970346897
ymax26a,1.005533415
ymax26b,1.005579702
ymax26c,0.917599825
ymax31a,1.176713075
ymax31b,1.080513745
ymax31c,1.080307682
a,-20.60264172
b,0.512420515
c,31.20446119
d,0.065511374
e,41.84794035
f,0.029937992
