Meas,Treat,Topt,r15,r40
1,M21,27.11,0.542617052,0.153739304
2,M26,31.29,0.200588768,0.349951775
3,M31,35.53,0.003075805,0.726461317
4,A21,30.85,0.306253383,0.217405734
5,A26,31.16,0.27904733,0.251977608
6,A31,31.48,0.247191798,0.287611632
7,G21,29.71,0.39747081,0.277445099
8,G26,31.9,0.189579491,0.422547183
9,G31,34.08,0.015978857,0.612254801
10,R21,29.92,0.396119161,0.298932371
11,R26,30.15,0.318825463,0.308007496
12,R31,30.39,0.19981777,0.316401203
