Parm,x
sdNase,-2.252949519
ymax21a,1.008127274
ymax21b,0.989093556
ymax21c,0.980296511
ymax26a,1.014142733
ymax26b,1.009535576
ymax26c,0.921942674
ymax31a,1.176736101
ymax31b,1.067562969
ymax31c,1.076235259
a,-25.19087861
b,0.772316359
c,31.50042854
d,0.059146014
e,41.17396926
f,0.076509592
