Parm,x
sdNase,-2.111210545
ymax21a,1.242904023
ymax21b,1.20758714
ymax21c,1.221204331
ymax26a,0.914747264
ymax26b,0.874622755
ymax26c,0.910445765
ymax31a,0.898475677
ymax31b,0.831004036
ymax31c,0.637002064
a,-19.39721829
b,1.157738898
c,14.55597685
d,0.782506007
e,40.88813279
f,0.183815741
