Meas,Time,Vmax
1,0.016889352,542.196847
2,0.017140741,549.9294124
3,0.017394074,558.7836033
4,0.017643241,565.5102352
5,0.01800213,571.2483889
6,0.018350185,579.3944382
7,0.018597407,586.0361945
8,0.018842963,592.2563655
9,0.019091296,598.6492619
10,0.019341574,602.609345
11,0.019696296,606.4341371
12,0.020040185,612.7579594
13,0.020291852,620.6815731
14,0.020541296,626.4547818
15,0.020788241,633.9760975
16,0.021037685,642.2579416
17,0.021396574,649.594001
18,0.021742963,653.370121
19,0.021989907,661.9912091
20,0.022241019,665.289195
21,0.022490463,667.8976581
22,0.022741019,673.1091234
23,0.023101852,678.292869
24,0.023446296,688.3292211
25,0.023696852,689.5337208
26,0.023944352,691.7674697
27,0.024192963,696.1168657
28,0.024441574,700.4515396
29,0.024807963,703.8018455
30,0.025158796,709.7766665
31,0.025406574,710.039429
32,0.025654907,714.599306
33,0.025905185,717.9644469
34,0.02615463,722.4060672
35,0.026515741,725.9206845
36,0.026864907,730.8765226
37,0.027116019,733.2463005
38,0.027369074,732.1800293
39,0.027616852,733.4960292
40,0.027865185,737.1643399
41,0.028224074,739.8527996
42,0.028570741,743.4362173
43,0.028818519,749.721979
44,0.029072407,755.0870761
45,0.029320185,760.3149636
46,0.029567685,763.9532454
47,0.02992213,766.5528534
48,0.030266574,767.9307087
49,0.030512407,772.1423359
50,0.030761019,776.7525377
51,0.031008519,781.9565976
52,0.031260463,784.4864046
53,0.031616852,786.0296805
54,0.031961574,790.203777
55,0.032209074,794.9020087
56,0.032458519,799.5736177
57,0.032707963,807.3681923
58,0.032959352,811.2830578
59,0.033314907,814.1400904
60,0.033660463,816.0002413
61,0.033906019,816.9642015
62,0.034155185,819.7452325
63,0.034406852,822.9066922
64,0.034659907,823.9031884
65,0.035025185,824.0369197
66,0.035375185,826.6982441
67,0.035623796,832.0601535
68,0.03587213,835.0819332
69,0.036119074,835.0487978
70,0.036366019,837.5385271
71,0.03672213,839.5224848
72,0.037066019,843.8809078
73,0.037315185,846.526069
74,0.037565463,848.3297926
75,0.037814907,850.1225094
76,0.03806713,853.9357805
77,0.038421852,856.7007166
78,0.038767407,861.3171876
79,0.03901463,867.5695883
80,0.039266019,867.8547084
81,0.039515185,869.4850831
82,0.039764074,871.7096123
83,0.040121296,872.8441318
84,0.04046963,876.5912626
85,0.040717963,880.4287294
86,0.040965741,884.4464076
87,0.041214907,885.5592688
88,0.041465463,891.0217024
89,0.041824352,895.6568804
90,0.042171852,903.622763
91,0.042422963,911.2437606
92,0.042677963,912.7380894
93,0.042931019,915.6917169
94,0.043180463,919.0632125
95,0.043534074,921.0605642
96,0.04387963,921.5771398
97,0.044127963,918.6629569
98,0.044376296,919.1761329
99,0.044625185,919.6727339
100,0.044876574,918.1043082
101,0.045233796,915.4703425
102,0.04558463,917.5673187
103,0.045834907,919.9618927
104,0.046086296,921.042669
105,0.046336574,919.2595407
106,0.046586019,918.3140641
107,0.046946019,916.4426169
108,0.047291296,916.6089563
109,0.047537963,912.9493418
110,0.047784907,910.6548797
111,0.048035185,911.5982367
112,0.048288241,912.8753588
113,0.04864213,913.3726505
114,0.048984352,915.2939134
115,0.049233241,916.9595366
116,0.049482407,920.8592569
117,0.049733796,918.2592275
118,0.04997963,920.2808733
119,0.050336296,920.4837384
120,0.050686019,922.4098461
121,0.050935185,925.2293982
122,0.051184074,927.6733376
123,0.051438241,928.0523846
124,0.051689907,928.1975473
125,0.052047407,927.5171906
126,0.052395741,932.0632968
127,0.052643241,934.9018423
128,0.052889074,937.6543046
129,0.05313463,937.5174084
130,0.053385185,933.5641016
131,0.053748796,928.8331025
132,0.054096296,927.4324912
133,0.054343796,928.4623603
134,0.054593796,931.2211302
135,0.054846296,932.5283178
136,0.055096574,938.4379327
137,0.055460185,942.8931328
138,0.055809352,944.5149971
139,0.056058519,949.6325947
140,0.056307407,948.6865311
