Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,12/5/2019,20.4,0,0,0,0.3
1,12/5/2019,20.4,208,0.5,287.1,0.8
1,12/5/2019,20.4,399,1,538,0.9
1,12/5/2019,20.4,594,1.5,755.6,0.9
1,12/5/2019,20.4,813,2,957.4,0.9
1,12/5/2019,20.4,1184,3,1144.3,2.8
1,12/5/2019,20.4,1593,4,1182.2,2.9
1,12/5/2019,20.4,2398,6,1176.1,3.5
1,12/5/2019,20.4,3214,8,1123.9,2.9
1,12/5/2019,20.4,3974,10,1093.8,2.9
2,1/30/2020,25.7,0,0,0,0.3
2,1/30/2020,25.7,204,0.5,245.1,0.9
2,1/30/2020,25.7,403,1,472.1,0.9
2,1/30/2020,25.7,622,1.5,673.9,0.8
2,1/30/2020,25.7,849,2,823.1,0.9
2,1/30/2020,25.7,1219,3,1013.3,3
2,1/30/2020,25.7,1610,4,1011.7,3.2
2,1/30/2020,25.7,2408,6,978.7,3.3
2,1/30/2020,25.7,3197,8,960.2,6.6
2,1/30/2020,25.7,4001,10,916.9,4.5
3,2/11/2020,29.6,0,0,0,0.3
3,2/11/2020,29.6,198,0.5,150.8,0.9
3,2/11/2020,29.6,420,1,300.5,0.9
3,2/11/2020,29.6,599,1.5,455,0.9
3,2/11/2020,29.6,804,2,572,0.9
3,2/11/2020,29.6,1205,3,688,1
3,2/11/2020,29.6,1613,4,788.5,3.3
3,2/11/2020,29.6,2398,6,769,3.2
3,2/11/2020,29.6,3206,8,779.6,3.3
3,2/11/2020,29.6,3997,10,755.1,3.8
4,3/2/2020,34.7,0,0,0,0.4
4,3/2/2020,34.7,193,0.5,217.9,1
4,3/2/2020,34.7,400,1,411.3,0.9
4,3/2/2020,34.7,605,1.5,548.2,1
4,3/2/2020,34.7,794,2,636.6,1
4,3/2/2020,34.7,1199,3.0,723.2,1.1
4,3/2/2020,34.7,1619,4.0,726.9,3.4
4,3/2/2020,34.7,2398,6.0,721.4,3.4
