Parm,x
sdNase,-2.028166549
ymax21a,1.254403421
ymax21b,1.210035873
ymax21c,1.260811139
ymax26a,0.934380382
ymax26b,0.88359872
ymax26c,0.928124034
ymax31a,0.905698625
ymax31b,0.839085206
ymax31c,0.645524506
a,-20.3078677
b,1.187542975
c,16.65966635
d,0.712110286
e,44.96541174
f,0.04136045
