Meas,Time,Vmax
201,0.073571574,1145.555743
202,0.073819907,1149.812611
203,0.074064074,1153.49895
204,0.074315185,1156.727802
205,0.074675463,1158.602523
206,0.075020741,1162.975307
207,0.075266296,1169.64033
208,0.075512963,1175.557236
209,0.075765185,1180.573976
210,0.076015741,1186.507051
211,0.076370185,1190.957295
212,0.076715741,1199.158348
213,0.076963241,1205.999234
214,0.077211019,1211.298915
215,0.07746213,1218.776476
216,0.077715463,1225.27968
217,0.078077407,1230.917028
218,0.078426296,1238.79024
219,0.07867463,1246.341213
220,0.078920741,1248.662709
221,0.079172685,1255.295956
222,0.079424907,1262.302623
223,0.079786019,1267.689524
224,0.080134907,1270.1248
225,0.080382685,1274.756197
226,0.080631296,1276.960595
227,0.080880463,1284.198668
228,0.081129074,1292.107545
229,0.081483519,1298.535002
230,0.081823519,1304.372838
231,0.082070185,1314.662586
232,0.082316852,1322.660932
233,0.082566296,1326.388432
234,0.08281963,1332.447696
235,0.083179352,1337.670745
236,0.08352213,1340.923778
237,0.083773519,1343.043715
238,0.08402213,1350.741572
239,0.08426963,1355.400091
240,0.084519074,1361.093879
241,0.08487463,1365.123374
242,0.085219907,1369.493197
243,0.085469352,1373.090687
244,0.085718796,1372.802416
245,0.085968519,1374.591527
246,0.086219352,1371.435379
247,0.086580741,1367.131995
248,0.086930185,1370.608035
249,0.087181019,1376.220351
250,0.087430463,1384.186472
251,0.087678796,1391.319061
252,0.08792713,1395.547445
253,0.088288241,1397.931213
254,0.088635185,1403.18067
255,0.08888213,1408.324068
256,0.089132407,1412.921595
257,0.089382685,1415.680286
258,0.089633241,1420.938959
259,0.089984352,1425.171044
260,0.090329352,1427.960925
261,0.090575463,1429.63739
262,0.090821296,1431.588394
263,0.091068796,1433.797544
264,0.091315741,1436.881871
265,0.091679074,1437.944899
266,0.092028241,1441.93141
267,0.092276574,1445.945849
268,0.092525185,1453.984915
269,0.092775463,1457.694321
270,0.093027963,1459.547295
271,0.09339213,1460.277164
272,0.09373963,1462.164691
273,0.093989074,1461.64823
274,0.09424213,1463.549752
275,0.094491852,1463.97194
276,0.094741019,1468.822456
277,0.095097407,1471.777254
