Plant,Date,Temp,mL_acet_cor,mL_acet_error,dE/dt_SNF,dE/dt_SNF_SE
1,1/10/2019,31,0,0,0,0.288426593
1,1/10/2019,31,214,10,299.6803358,2.653792494
1,1/10/2019,31,397,10,500.5968006,4.08581534
1,1/10/2019,31,619,10,709.5808282,1.454426427
1,1/10/2019,31,816,10,824.4791028,1.090342091
1,1/10/2019,31,1204,10,1030.76472,4.275590005
1,1/10/2019,31,1666,20,1148.285662,2.68573388
1,1/10/2019,31,2413,20,1220.55443,3.408972274
1,1/10/2019,31,3338,30,1191.851339,2.172622702
1,1/10/2019,31,4154,40,1178.641293,4.790055772
2,1/10/2019,31,0,0,0,0.41797492
2,1/10/2019,31,214,10,67.02374846,2.303624255
2,1/10/2019,31,422,10,136.6014667,1.305837227
2,1/10/2019,31,640,10,198.657847,1.322560555
2,1/10/2019,31,807,10,243.7759656,1.358063412
2,1/10/2019,31,1259,10,342.7817372,1.497392628
2,1/10/2019,31,1701,20,425.9278141,1.455646153
2,1/10/2019,31,2479,20,503.8285604,3.467356234
2,1/10/2019,31,3295,30,540.0434759,6.937203733
2,1/10/2019,31,3919,30,566.3114333,4.440630402
3,1/18/2019,31,0,0,0,0.228124527
3,1/18/2019,31,228,10,171.0960444,0.999811553
3,1/18/2019,31,440,10,311.1502467,2.877067594
3,1/18/2019,31,609,10,423.6286536,2.216120506
3,1/18/2019,31,788,10,497.1695087,3.84195784
3,1/18/2019,31,1226,10,658.9753653,4.677113501
3,1/18/2019,31,1663,20,781.1340384,5.692191082
3,1/18/2019,31,2415,20,906.5957758,4.4987329
3,1/18/2019,31,3279,30,950.5065074,4.943750347
3,1/18/2019,31,4249,30,935.3132362,2.743893614
4,3/29/2019,20.4,0,0,0,0
4,3/29/2019,20.4,247,10,96.1,0.7
4,3/29/2019,20.4,455,10,158.9,0.8
4,3/29/2019,20.4,652,10,214.2,0.9
4,3/29/2019,20.4,841,10,265,0.9
4,3/29/2019,20.4,1184,10,326.7,0.9
4,3/29/2019,20.4,1646,20,374,3
4,3/29/2019,20.4,2421,20,420.4,3.2
4,3/29/2019,20.4,3270,30,442.8,3.1
4,3/29/2019,20.4,4038,30,442.8,3.4
5,3/26/2019,24.9,0,0,0,0.2
5,3/26/2019,24.9,238,10,41,0.8
5,3/26/2019,24.9,461,10,80.1,0.7
5,3/26/2019,24.9,673,10,109.4,0.8
5,3/26/2019,24.9,849,10,129.6,0.7
5,3/26/2019,24.9,1258,10,167.4,0.8
5,3/26/2019,24.9,1700,20,192.2,0.9
5,3/26/2019,24.9,2441,20,203.4,4.2
5,3/26/2019,24.9,3231,30,217.9,3.8
5,3/26/2019,24.9,4026,30,218.1,3.9
6,4/12/2019,34.7,0,0,0,0.2
6,4/12/2019,34.7,255,10,82.4,0.8
6,4/12/2019,34.7,387,10,116.4,0.8
6,4/12/2019,34.7,688,10,192,0.9
6,4/12/2019,34.7,874,10,224.7,0.8
6,4/12/2019,34.7,1203,10,269.9,0.9
6,4/12/2019,34.7,1619,20,331.7,3.3
6,4/12/2019,34.7,2338,20,348.7,3.3
6,4/12/2019,34.7,3246,30,388,3.5
6,4/12/2019,34.7,4019,30,394.9,3.5
