Date,Sample ID,Species,Growing Temperature,Measurement Temperature,Jar Temperature,Nodule_mass_mg,15N (at-%),?15NAir (‰),Total N (µg),Sample Weight (mg) from Sample List,"%Natm,inc","%Nfix,inc",SNF (g N g nodule-1 hr-1),SNF (mol N2 g nodule-1 hr-1),Vmax (mol C2H4 g nodule-1 hr-1),Vmax.low (mol C2H4 g nodule-1 hr-1),Vmax.high (mol C2H4 g nodule-1 hr-1),CF (mol C2H4:mol N2),CF.low (mol C2H4:mol N2),CF.high (mol C2H4:mol N2),Size_cor,CF_size_cor,CF_size_cor_low,CF_size_cor_high
6/6/2019,G20,GLSE,31,20,20.5,21.8,0.38238,44.06,64.27,2.185,19.89304,0.08236,0.000048,1.72E-06,2.08E-06,1.57E-06,2.73E-06,1.220036938,0.91900941,1.602072441,0.990903624,1.208939023,0.910649755,1.587499388
6/6/2019,G22,GLSE,31,22.5,22.5,29.8,0.37343,19.54,193.33,2.41,19.89304,0.03653,0.000059,2.08E-06,3.74E-08,2.72E-08,5.09E-08,0.018099041,0.013188247,0.024657669,0.991248815,0.017940653,0.013072834,0.024441885
6/6/2019,G25,GLSE,31,25,25,53.5,0.38571,53.19,227.35,2.727,19.89304,0.09941,0.000166,5.88E-06,3.08E-05,2.32E-05,4.04E-05,5.272778248,3.975953609,6.922176261,0.992272856,5.23203473,3.945230843,6.868687608
6/6/2019,G27,GLSE,31,27.5,27.5,14.6,0.38484,50.79,206.36,2.575,19.89304,0.09493,0.000152,5.41E-06,1.73E-05,1.30E-05,2.27E-05,3.224235784,2.429298507,4.232718804,0.990593157,3.193905905,2.406446477,4.192902283
6/6/2019,G30,GLSE,31,30,30,20.5,0.38032,38.41,106.06,2.309,19.89304,0.07179,0.000066,2.34E-06,1.04E-05,7.86E-06,1.37E-05,4.486676673,3.382626629,5.890837108,0.990847553,4.445612602,3.351667318,5.836921534
6/7/2019,G32,GLSE,31,32.5,32.5,18.3,0.40049,93.71,112.5,2.309,19.89304,0.17511,0.000171,6.06E-06,3.58E-05,2.70E-05,4.71E-05,5.966335777,4.497618713,7.840240968,0.990752678,5.91116315,4.456027785,7.767739735
6/7/2019,G35,GLSE,31,35,34.5,32,0.37956,36.34,107.95,2.611,19.89304,0.06792,0.000056,2.00E-06,1.05E-05,7.95E-06,1.38E-05,5.329109852,4.017599316,6.996741381,0.991343784,5.282979928,3.982822109,6.936176076
6/6/2019,M20,MOCE,31,20,20,57.3,0.4091,117.32,45.22,2.753,19.89304,0.21919,0.000072,2.55E-06,9.47E-06,7.13E-06,1.29E-05,3.73659551,2.811283384,5.091894469,0.992437245,3.708336553,2.790022337,5.053385719
6/6/2019,M22,MOCE,31,22.5,23,90.4,0.36854,6.13,53.34,2.475,19.89304,0.01147,0.000005,1.75E-07,1.01E-07,7.54E-08,1.36E-07,0.579044054,0.433250339,0.782129473,0.993871466,0.575495363,0.43059515,0.777336166
6/6/2019,M25,MOCE,31,25,25,101.8,0.41452,132.19,49.35,2.983,19.89304,0.24696,0.000082,2.89E-06,1.19E-05,8.85E-06,1.59E-05,4.119884197,3.07707329,5.528561602,0.994366388,4.096674368,3.059738253,5.497415831
6/6/2019,M27,MOCE,31,27.5,28,30.4,0.53116,452.46,37.77,2.01,19.89304,0.84428,0.000317,1.13E-05,5.91E-05,4.43E-05,7.89E-05,5.29227941,3.968581955,7.059372201,0.991274714,5.246102757,3.933954942,6.99777716
6/6/2019,M30,MOCE,31,30,29.5,141.9,0.40955,118.54,38.45,2.83,19.89304,0.22148,0.00006,2.13E-06,1.35E-05,1.01E-05,1.80E-05,6.357271404,4.76820319,8.499861269,0.996111219,6.332549367,4.749660692,8.46680717
6/7/2019,M32,MOCE,31,32.5,32.5,198.5,0.43781,196.07,39.7,2.896,19.89304,0.36621,0.0001,3.54E-06,9.37E-06,7.00E-06,1.25E-05,2.648693186,1.979268756,3.530657986,0.998584443,2.644943809,1.976466988,3.525660138
6/7/2019,M35,MOCE,31,35,34.5,13.3,0.65756,800.37,37.07,2.073,19.89304,1.49157,0.000534,1.90E-05,1.47E-05,1.10E-05,1.97E-05,0.781351821,0.584426803,1.047831498,0.990537121,0.773957984,0.578896443,1.037915995
6/6/2019,R20,ROPS,31,20,20,19.2,0.38759,58.33,120.58,2.489,19.89304,0.10901,0.000106,3.75E-06,1.13E-05,8.43E-06,1.53E-05,3.047900739,2.265914137,4.111062387,0.990791488,3.019834109,2.245048439,4.07320562
6/6/2019,R22a,ROPS,31,22.5,23,44.3,0.37386,20.72,128.32,2.532,19.89304,0.03873,0.000039,1.39E-06,5.76E-06,4.28E-06,7.76E-06,4.164686917,3.096117115,5.616603924,0.991875087,4.130849196,3.070961433,5.570969506
6/6/2019,R25,ROPS,31,25,25,24.8,0.42292,155.22,125.42,2.443,19.89304,0.28997,0.000298,1.06E-05,3.65E-05,2.72E-05,4.93E-05,3.484713343,2.59105809,4.700417234,0.991033042,3.453466065,2.567824181,4.65826879
6/6/2019,R27,ROPS,31,27.5,27.5,31.5,0.39583,80.93,151.48,2.664,19.89304,0.15123,0.000172,6.11E-06,3.73E-05,2.78E-05,5.04E-05,6.165031525,4.583099354,8.314757942,0.991322199,6.111532606,4.54332813,8.242604127
6/6/2019,R30,ROPS,31,30,29.5,33.3,0.3705,11.5,108.95,2.336,19.89304,0.02151,0.00002,7.13E-07,1.50E-05,1.11E-05,2.02E-05,21.19753025,15.7529182,28.58302906,0.991399911,21.01522961,15.6174417,28.33721247
6/7/2019,R32,ROPS,31,32.5,32.5,23.7,0.38416,48.93,134.58,2.342,19.89304,0.09145,0.000105,3.73E-06,5.65E-05,4.20E-05,7.62E-05,15.2577647,11.34889163,20.57608476,0.990985585,15.12022487,11.24658801,20.39060339
6/7/2019,R35,ROPS,31,35,34,27.3,0.37143,14.06,184.55,2.106,19.89304,0.0263,0.000046,1.64E-06,6.50E-05,4.83E-05,8.76E-05,40.03752671,29.77040136,53.99768246,0.991140917,39.68283092,29.5066629,53.51931251
